Chemical_name	mz	time	Qstd4	adduct	KEGGID	best_quant_mode
PALMITATE	255.233	252	64	M-H	C00249	C18
N-ACETYLGLUCOSAMINE	256.0593	23	0.53	M+Cl	C01074	C18
INOSINE	267.0735	24	0.54	M-H	C00294	C18
HEPTADECANOATE	269.2486	266	1.7	M-H	CA1365	C18
LINOLENIC ACID	277.2173	223	40	M-H	C06426	C18
LINOLEATE	279.233	238	2400	M-H	C01595	C18
OLEATE	281.2486	258	98	M-H	C00712	C18
STEARATE	283.2643	282	47	M-H	C01530	C18
RETINOATE	299.2017	226	0.65	M-H	C00777	C18
EICOSAPENTAENOIC ACID	301.2173	224	44	M-H	C06428	C18
ARACHIDONIC ACID	303.2329	239	1400	M-H	C00219	C18
HOMOLINOLENIC ACID	305.2486	252	120	M-H	C03242	C18
EICOSADIENOIC ACID	307.2642	272	15	M-H	C16525	C18
N-ACETYLNEURAMINATE	308.0987	20	1.4	M-H	C00270	C18
GONDOIC ACID	309.2799	290	9.3	M-H	C16526	C18
ARACHIDIC ACID	311.2955	298	8.1	M-H	C06425	C18
DOCOSAHEXAENOIC ACID	327.233	227	29	M-H	C06429	C18
C22-5-FattyAcid	329.2486	240	53	M-H		C18
DOCOSATETRAENOIC ACID	331.2642	258	26	M-H	C16527	C18
MONOGLYCERIDE-14_0	361.2596	226	0.37	M+CH3COO	CA1370	C18
LITHOCHOLIC ACID	375.2905	196	0.23	M-H	C03990	C18
DISACCHARIDE (LACTOSE)	377.0856	20	14	M+Cl	C00243	HILIC
Chenodeoxycholate_Deoxycholate	391.2853	138	0.23	M-H		C18
PFHxS_ngml	398.9368	79	0.99	M-H	NA	C18
CORTISOL	407.2075	52	0.42	M+FA-H	C00735	HILIC
CHOLATE	407.2803	90	0.28	M-H	C00695	C18
PFOA_ngml	412.9666	77	1.9	M-H	NA	C18
MONOGLYCERIDE-18_0	415.3066	251	1.9	M+CH3COO	CA1373	C18
INOSINE DIPHOSPHATE	427.0062	20	1.8	M-H	C00104	C18
PFNA_ngml	462.9629	137	0.14	M-H	NA	C18
GLYCOCHOLATE	464.3018	33	0.45	M-H	C01921	HILIC
PFOS_ngml	498.9302	120	1.8	M-H	C18142	C18
BILIRUBIN	583.2562	180	4	M-H	C00486	HILIC
THYROXINE	775.6794	72	0.12	M-H	C01829	C18
