Library,Plate,Row,Col,CNAME,Name_Adduct,Jaclyn's Observations,Color Code,Library_Isomer,Formula,Monoisotopic_mass,HMDBID,KEGGID,Column,Adduct,KEGG_col_adduct,mz_lib,time_lib
GUTMLS,2,C,1,Ureidopropionic acid,Ureidopropionic acid_2M+NH4,pass,g,,C4H8N2O3,132.0534921,HMDB0000026,C02642,HILIC,2M+NH4,C02642_HILIC_2M+NH4,282.140814,49.3
Ken-IDX,6,E,4,BIOTIN,BIOTIN_M+H-H2O,pass,g,,C10H16N2O3S,244.0882,HMDB0000030,C00120,HILIC,M+H-H2O,C00120_HILIC_M+H-H2O,227.084912,59.1920004
Ken-IDX,6,E,4,BIOTIN,BIOTIN_M+H,pass,g,,C10H16N2O3S,244.0882,HMDB0000030,C00120,HILIC,M+H,C00120_HILIC_M+H,245.095476,59.1920004
Ken-IDX,6,E,4,BIOTIN,BIOTIN_M+Na,pass,g,,C10H16N2O3S,244.0882,HMDB0000030,C00120,HILIC,M+Na,C00120_HILIC_M+Na,267.07742,59.1920004
Ken-IDX,6,E,4,BIOTIN,BIOTIN_M+K,bad peak shape,y,,C10H16N2O3S,244.0882,HMDB0000030,C00120,HILIC,M+K,C00120_HILIC_M+K,283.05136,155.071836
Ken-IDX,1,E,10,CARNOSINE,CARNOSINE_M+H-2H2O,pass but early rt,y,,C9H14N4O3,226.1066,HMDB0000033,C00386,HILIC,M+H-2H2O,C00386_HILIC_M+H-2H2O,191.092198,48.571968
Ken-IDX,1,E,10,CARNOSINE,CARNOSINE_M+H-NH3,nice adduct - possible structure and coelutes,y,,C9H14N4O3,226.1066,HMDB0000033,C00386,HILIC,M+H-NH3,C00386_HILIC_M+H-NH3,210.087327,205.84266
Ken-IDX,1,E,10,CARNOSINE,CARNOSINE_M+H,pass,g,,C9H14N4O3,226.1066,HMDB0000033,C00386,HILIC,M+H,C00386_HILIC_M+H,227.113876,204.417156
Ken-IDX,1,E,10,CARNOSINE,CARNOSINE_M+K,pass,g,,C9H14N4O3,226.1066,HMDB0000033,C00386,HILIC,M+K,C00386_HILIC_M+K,265.06976,205.928508
GUTMLS,2,C,10,Taurocholic acid,Taurocholic acid_M+H,pass,g,,C26H45NO7S,515.2916735,HMDB0000036,C05122,HILIC,M+H,C05122_HILIC_M+H,516.29895,121.5
GUTMLS,2,C,10,Taurocholic acid,Taurocholic acid_M+NH4,pass - coelute,g,,C26H45NO7S,515.2916735,HMDB0000036,C05122,HILIC,M+NH4,C05122_HILIC_M+NH4,533.325503,121.5
Ken-IDX,2,B,1,BETAINE,BETAINE_M+Na,pass,g,yes,C5H11NO2,117.079,HMDB0000043,NA,HILIC,M+Na,NA_HILIC_M+Na,140.06822,165.87816
Ken-IDX,6,G,7,MELIBIOSE,MELIBIOSE_M+Na,pass,g,yes,C12H22O11,342.1162,HMDB0000048,NA,HILIC,M+Na,NA_HILIC_M+Na,365.10542,187.118982
Ken-IDX,4,B,9,ADENOSINE,ADENOSINE_M+H,pass,g,yes -but different time,C10H13N5O4,267.0968,HMDB0000050,C00212,HILIC,M+H,C00212_HILIC_M+H,268.104076,114.52185
Ken-IDX,6,H,1,D-(+)-CELLOBIOSE,D-(+)-CELLOBIOSE_M+NH4,pass,g,yes,C12H22O11,342.1162,HMDB0000055,C06422,HILIC,M+NH4,C06422_HILIC_M+NH4,360.15003,187.895538
Ken-IDX,6,H,1,D-(+)-CELLOBIOSE,D-(+)-CELLOBIOSE_M+Na,pass,g,yes,C12H22O11,342.1162,HMDB0000055,C06422,HILIC,M+Na,C06422_HILIC_M+Na,365.10542,187.118982
Ken-IDX,3,C,1,L-CARNITINE,L-CARNITINE_M+H-2H2O,poor peak shape,y,,C7H15NO3,161.1057,HMDB0000062,C00318,HILIC,M+H-2H2O,C00318_HILIC_M+H-2H2O,126.091298,179.25966
Ken-IDX,1,C,11,PIPECOLATE,PIPECOLATE_M+H-H2O,pass,g,,C6H11NO2,129.079,HMDB0000070,C00408,HILIC,M+H-H2O,C00408_HILIC_M+H-H2O,112.075712,205.173696
Ken-IDX,1,C,11,PIPECOLATE,PIPECOLATE_M+2Na-H,pass,g,,C6H11NO2,129.079,HMDB0000070,C00408,HILIC,M+2Na-H,C00408_HILIC_M+2Na-H,174.050164,169.9359
Ken-IDX,2,D,10,DOPAMINE,DOPAMINE_M+NH4,poor peak shape,y,yes -but different time,C8H11NO2,153.079,HMDB0000073,C03758,HILIC,M+NH4,C03758_HILIC_M+NH4,171.11283,80.64252
GUTMLS,2,D,3,Dihydrothymine,Dihydrothymine_M+H,pass,g,,C5H8N2O2,128.0585775,HMDB0000079,C00906,HILIC,M+H,C00906_HILIC_M+H,129.065854,179.7
GUTMLS,2,D,3,Dihydrothymine,Dihydrothymine_M+H+H2O,passed - diff RT,g,,C5H8N2O2,128.0585775,HMDB0000079,C00906,HILIC,M+H+H2O,C00906_HILIC_M+H+H2O,147.076414,186.8
GUTMLS,2,D,3,Dihydrothymine,Dihydrothymine_M+ACN+H,passed - diff RT,g,,C5H8N2O2,128.0585775,HMDB0000079,C00906,HILIC,M+ACN+H,C00906_HILIC_M+ACN+H,170.0924,197.3
Ken-IDX,3,D,9,2'-DEOXYGUANOSINE,2'-DEOXYGUANOSINE_M+H,pass,g,yes -but different time,C10H13N5O4,267.0968,HMDB0000085,C00330,HILIC,M+H,C00330_HILIC_M+H,268.104076,146.24736
GUTMLS,2,FALSE,8,Glycerophosphocholine,Glycerophosphocholine_M+H,pass and colute,g,,C8H20NO6P,257.1028244,HMDB0000086,C00670,HILIC,M+H,C00670_HILIC_M+H,258.1101,185.6
GUTMLS,2,FALSE,8,Glycerophosphocholine,Glycerophosphocholine_M+Na,pass,g,,C8H20NO6P,257.1028244,HMDB0000086,C00670,HILIC,M+Na,C00670_HILIC_M+Na,280.092044,185.2
GUTMLS,2,FALSE,8,Glycerophosphocholine,Glycerophosphocholine_M+ACN+H,pass no coelute,g,,C8H20NO6P,257.1028244,HMDB0000086,C00670,HILIC,M+ACN+H,C00670_HILIC_M+ACN+H,299.136647,162.6
Ken-IDX,1,B,1,CYTIDINE,CYTIDINE_M+H,pass,g,,C9H13N3O5,243.0855,HMDB0000089,C00475,HILIC,M+H,C00475_HILIC_M+H,244.092776,158.845998
Ken-IDX,1,B,1,CYTIDINE,CYTIDINE_M+Na,pass,g,,C9H13N3O5,243.0855,HMDB0000089,C00475,HILIC,M+Na,C00475_HILIC_M+Na,266.07472,160.926504
Ken-IDX,2,F,9,3'-CMP,3'-CMP_M+H,poor peak shape,y,,C9H14N3O8P,323.0519,HMDB0000095,C00055,HILIC,M+H,C00055_HILIC_M+H,324.059176,202.358124
Ken-IDX,2,F,9,3'-CMP,3'-CMP_M+Na,poor peak shape,y,,C9H14N3O8P,323.0519,HMDB0000095,C00055,HILIC,M+Na,C00055_HILIC_M+Na,346.04112,202.51974
Ken-IDX,2,E,6,L-CYSTATHIONINE,L-CYSTATHIONINE_M+H,pass,g,,C7H14N2O4S,222.0674,HMDB0000099,C02291,HILIC,M+H,C02291_HILIC_M+H,223.074676,211.206564
Ken-IDX,2,E,6,L-CYSTATHIONINE,L-CYSTATHIONINE_M+2Na-H,pass,g,,C7H14N2O4S,222.0674,HMDB0000099,C02291,HILIC,M+2Na-H,C02291_HILIC_M+2Na-H,267.038564,208.173006
Ken-IDX,4,A,1,2'-DEOXYADENOSINE,2'-DEOXYADENOSINE_M+H,pass,g,,C10H13N5O3,251.1018,HMDB0000101,C00559,HILIC,M+H,C00559_HILIC_M+H,252.109076,96.313758
Ken-IDX,4,D,6,4-AMINOBUTANOATE,4-AMINOBUTANOATE_M+H-H2O,pass,g,,C4H9NO2,103.0633,HMDB0000112,C00334,HILIC,M+H-H2O,C00334_HILIC_M+H-H2O,86.060012,147.016668
Ken-IDX,4,D,6,4-AMINOBUTANOATE,4-AMINOBUTANOATE_M+H-NH3,pass,g,,C4H9NO2,103.0633,HMDB0000112,C00334,HILIC,M+H-NH3,C00334_HILIC_M+H-NH3,87.044027,88.50321
Ken-IDX,1,C,5,GLYCOLATE,GLYCOLATE_M+2Na-H,poor peak shape,y,,C2H4O3,76.016,HMDB0000115,C03547,HILIC,M+2Na-H,C03547_HILIC_M+2Na-H,120.987164,164.626596
Ken-IDX,1,G,12,FOLIC ACID,FOLIC ACID_M+H,pass,g,,C19H19N7O6,441.1397,HMDB0000121,C00504,HILIC,M+H,C00504_HILIC_M+H,442.146976,152.005002
Ken-IDX,1,D,1,GLYCINE,GLYCINE_M+2Na-H,pass,g,,C2H5NO2,75.032,HMDB0000123,C00037,HILIC,M+2Na-H,C00037_HILIC_M+2Na-H,120.003164,173.18955
Ken-IDX,3,H,9,GLUTATHIONE,GLUTATHIONE_M+H,pass,g,,C10H17N3O6S,307.0838,HMDB0000125,C00051,HILIC,M+H,C00051_HILIC_M+H,308.091076,183.564
Ken-IDX,3,H,9,GLUTATHIONE,GLUTATHIONE_M+Na,pass,g,,C10H17N3O6S,307.0838,HMDB0000125,C00051,HILIC,M+Na,C00051_HILIC_M+Na,330.07302,184.133004
Ken-IDX,2,C,12,D-GLUCURONIC ACID,D-GLUCURONIC ACID_M+2Na-H,poor peak shape,y,,C6H10O7,194.0427,HMDB0000127,C00191,HILIC,M+2Na-H,C00191_HILIC_M+2Na-H,239.013864,187.0758
Ken-IDX,1,H,7,GUANIDINOACETATE,GUANIDINOACETATE_M+H,pass,g,,C3H7N3O2,117.0538,HMDB0000128,C00581,HILIC,M+H,C00581_HILIC_M+H,118.061076,180.748002
Ken-IDX,1,H,7,GUANIDINOACETATE,GUANIDINOACETATE_M+Na,pass,g,,C3H7N3O2,117.0538,HMDB0000128,C00581,HILIC,M+Na,C00581_HILIC_M+Na,140.04302,180.191328
Ken-IDX,1,H,7,GUANIDINOACETATE,GUANIDINOACETATE_M+2Na-H,pass,g,,C3H7N3O2,117.0538,HMDB0000128,C00581,HILIC,M+2Na-H,C00581_HILIC_M+2Na-H,162.024964,180.495756
Ken-IDX,1,G,6,GUANINE,GUANINE_M+H,pass,g,,C5H5N5O,151.0494,HMDB0000132,C00242,HILIC,M+H,C00242_HILIC_M+H,152.056676,145.993038
Ken-IDX,1,F,10,GUANOSINE,GUANOSINE_M+H,pass,g,,C10H13N5O5,283.0917,HMDB0000133,C00387,HILIC,M+H,C00387_HILIC_M+H,284.098976,153.892506
Ken-IDX,1,F,10,GUANOSINE,GUANOSINE_M+Na,pass,g,,C10H13N5O5,283.0917,HMDB0000133,C00387,HILIC,M+Na,C00387_HILIC_M+Na,306.08092,159.050004
Ken-IDX,2,B,11,FORMATE,FORMATE_M+2Na-H,pass,g,,CH2O2,46.0055,HMDB0000142,C00058,HILIC,M+2Na-H,C00058_HILIC_M+2Na-H,90.976664,165.85449
Ken-IDX,6,G,3,D-GALACTOSE,D-GALACTOSE_M+NH4,early elute,y,yes,C6H12O6,180.0634,HMDB0000143,C00984,HILIC,M+NH4,C00984_HILIC_M+NH4,198.09723,57.2063364
Ken-IDX,1,G,2,L-TYROSINE,L-TYROSINE_M+H,signal is there but fail,y,,C9H11NO3,181.0739,HMDB0000158,C00082,HILIC,M+H,C00082_HILIC_M+H,182.081176,109.822734
Ken-IDX,1,F,2,L-PHENYLALANINE,L-PHENYLALANINE_2M+ACN+H,pass,g,,C9H11NO2,165.079,HMDB0000159,C00079,HILIC,2M+ACN+H,C00079_HILIC_2M+ACN+H,372.191823,195.649698
Ken-IDX,6,G,9,MALTOSE,MALTOSE_M+Na,pass,g,yes,C12H22O11,342.1162,HMDB0000163,C00208,HILIC,M+Na,C00208_HILIC_M+Na,365.10542,187.118982
Ken-IDX,1,G,4,L-ASPARAGINE,L-ASPARAGINE_M+2Na-H,pass,g,yes -but different time,C4H8N2O3,132.0535,HMDB0000168,C00152,HILIC,M+2Na-H,C00152_HILIC_M+2Na-H,177.024664,191.020116
Ken-IDX,6,F,8,MANNOSE,MANNOSE_M+NH4,early elute,y,yes,C6H12O6,180.0634,HMDB0000169,C00936,HILIC,M+NH4,C00936_HILIC_M+NH4,198.09723,57.2063364
Ken-IDX,1,A,4,INOSINE 5'-PHOSPHATE,INOSINE 5'-PHOSPHATE_M+Na,pass,g,,C10H13N4O8P,348.0471,HMDB0000175,C00130,HILIC,M+Na,C00130_HILIC_M+Na,371.03632,194.146674
Ken-IDX,5,B,3,MALEIC ACID,MALEIC ACID_M+2Na-H,pass,g,,C4H4O4,116.011,HMDB0000176,C01384,HILIC,M+2Na-H,C01384_HILIC_M+2Na-H,160.982164,58.414002
Ken-IDX,1,F,9,"3,4-DIHYDROXY-L-PHENYLALANINE (L-DOPA)","3,4-DIHYDROXY-L-PHENYLALANINE (L-DOPA)_M+H-NH3",pass,g,,C9H11NO4,197.0688,HMDB0000181,C00355,HILIC,M+H-NH3,C00355_HILIC_M+H-NH3,181.049527,184.32399
Ken-IDX,1,F,9,"3,4-DIHYDROXY-L-PHENYLALANINE (L-DOPA)","3,4-DIHYDROXY-L-PHENYLALANINE (L-DOPA)_M+H",pass,g,,C9H11NO4,197.0688,HMDB0000181,C00355,HILIC,M+H,C00355_HILIC_M+H,198.076076,181.44936
Ken-IDX,1,F,9,"3,4-DIHYDROXY-L-PHENYLALANINE (L-DOPA)","3,4-DIHYDROXY-L-PHENYLALANINE (L-DOPA)_M+2Na-H",pass,g,,C9H11NO4,197.0688,HMDB0000181,C00355,HILIC,M+2Na-H,C00355_HILIC_M+2Na-H,242.039964,179.001
Ken-IDX,2,D,12,L-LYSINE,L-LYSINE_M+Na,pass,g,,C6H14N2O2,146.1055,HMDB0000182,C00047,HILIC,M+Na,C00047_HILIC_M+Na,169.09472,205.184814
Ken-IDX,1,G,1,L-LYSINE,L-LYSINE_M+2Na-H,pass,g,,C6H14N2O2,146.1055,HMDB0000182,C00047,HILIC,M+2Na-H,C00047_HILIC_M+2Na-H,191.076664,204.890958
Ken-IDX,1,B,2,L-SERINE,L-SERINE_M+2Na-H,pass,g,,C3H7NO3,105.0426,HMDB0000187,C00065,HILIC,M+2Na-H,C00065_HILIC_M+2Na-H,150.013764,188.968704
Ken-IDX,1,D,12,L-CYSTINE,L-CYSTINE_M+H,pass,g,,C6H12N2O4S2,240.0238,HMDB0000192,C00491,HILIC,M+H,C00491_HILIC_M+H,241.031076,211.774992
Ken-IDX,4,E,9,L-ANSERINE,L-ANSERINE_M+2H,pass,g,,C10H16N4O3,240.1222,HMDB0000194,C01262,HILIC,M+2H,C01262_HILIC_M+2H,121.068376,201.36456
Ken-IDX,4,E,9,L-ANSERINE,L-ANSERINE_M+H,pass,g,,C10H16N4O3,240.1222,HMDB0000194,C01262,HILIC,M+H,C01262_HILIC_M+H,241.129476,202.6218
Ken-IDX,4,E,9,L-ANSERINE,L-ANSERINE_M+Na,pass,g,,C10H16N4O3,240.1222,HMDB0000194,C01262,HILIC,M+Na,C01262_HILIC_M+Na,263.11142,200.12349
Ken-IDX,4,E,9,L-ANSERINE,L-ANSERINE_M+2Na-H,pass,g,,C10H16N4O3,240.1222,HMDB0000194,C01262,HILIC,M+2Na-H,C01262_HILIC_M+2Na-H,285.093364,203.841
Ken-IDX,5,C,7,INDOLE-3-ACETATE,INDOLE-3-ACETATE_2M+H,pass,g,yes,C10H9NO2,175.0633,HMDB0000197,C00954,HILIC,2M+H,C00954_HILIC_2M+H,351.133876,204.735444
Ken-IDX,5,H,11,INDOLE-3-ACETIC ACID,INDOLE-3-ACETIC ACID_2M+H,pass,g,yes,C10H9NO2,175.0633,HMDB0000197,C00954,HILIC,2M+H,C00954_HILIC_2M+H,351.133876,204.735444
Ken-IDX,4,A,9,D-PANTOTHENIC ACID,D-PANTOTHENIC ACID_M+H,pass,g,,C9H17NO5,219.1107,HMDB0000210,C00864,HILIC,M+H,C00864_HILIC_M+H,220.117976,65.079582
Ken-IDX,4,A,9,D-PANTOTHENIC ACID,D-PANTOTHENIC ACID_M+Na,pass,g,,C9H17NO5,219.1107,HMDB0000210,C00864,HILIC,M+Na,C00864_HILIC_M+Na,242.09992,68.052192
Ken-IDX,4,A,9,D-PANTOTHENIC ACID,D-PANTOTHENIC ACID_M+2Na-H,pass,g,,C9H17NO5,219.1107,HMDB0000210,C00864,HILIC,M+2Na-H,C00864_HILIC_M+2Na-H,264.081864,65.559498
Ken-IDX,6,F,7,MYO-INOSITOL,MYO-INOSITOL_M+NH4,early elute,y,yes,C6H12O6,180.0634,HMDB0000211,C00137,HILIC,M+NH4,C00137_HILIC_M+NH4,198.09723,57.2063364
Ken-IDX,3,E,12,L-ORNITHINE,L-ORNITHINE_M+Na,pass,g,,C5H12N2O2,132.0899,HMDB0000214,C00077,HILIC,M+Na,C00077_HILIC_M+Na,155.07912,208.66458
Ken-IDX,3,E,12,L-ORNITHINE,L-ORNITHINE_M+2Na-H,pass,g,,C5H12N2O2,132.0899,HMDB0000214,C00077,HILIC,M+2Na-H,C00077_HILIC_M+2Na-H,177.061064,206.579478
Ken-IDX,1,C,4,N-ACETYL-D-GLUCOSAMINE,N-ACETYL-D-GLUCOSAMINE_M+H-2H2O,pass but poor peak shape,y,yes,C8H15NO6,221.0899,HMDB0000215,C00140,HILIC,M+H-2H2O,C00140_HILIC_M+H-2H2O,186.075498,152.172318
Ken-IDX,1,C,4,N-ACETYL-D-GLUCOSAMINE,N-ACETYL-D-GLUCOSAMINE_M+H-H2O,co-elute,y,yes,C8H15NO6,221.0899,HMDB0000215,C00140,HILIC,M+H-H2O,C00140_HILIC_M+H-H2O,204.086612,154.04025
Ken-IDX,1,C,4,N-ACETYL-D-GLUCOSAMINE,N-ACETYL-D-GLUCOSAMINE_M+Na,pass,g,yes,C8H15NO6,221.0899,HMDB0000215,C00140,HILIC,M+Na,C00140_HILIC_M+Na,244.07912,162.39351
Ken-IDX,5,D,4,OXALOACETATE,OXALOACETATE_2M+H,pass,g,,C4H4O5,132.0059,HMDB0000223,C00036,HILIC,2M+H,C00036_HILIC_2M+H,265.019076,211.30164
Ken-IDX,1,D,9,ETHANOLAMINE PHOSPHATE,ETHANOLAMINE PHOSPHATE_M+H,poor peak shape,y,,C2H8NO4P,141.0191,HMDB0000224,C00346,HILIC,M+H,C00346_HILIC_M+H,142.026376,199.43256
Ken-IDX,6,C,6,(RS)-MEVALONIC ACID LITHIUM SALT,(RS)-MEVALONIC ACID LITHIUM SALT_M+2Na-H,poor peak shape,y,,C6H12O4,148.0736,HMDB0000227,C00418,HILIC,M+2Na-H,C00418_HILIC_M+2Na-H,193.044764,65.8095
Ken-IDX,5,D,2,PHENOL,PHENOL_M+NH4,pass,g,,C6H6O,94.0419,HMDB0000228,C15584,HILIC,M+NH4,C15584_HILIC_M+NH4,112.07573,205.173696
Ken-IDX,1,G,11,NICOTINAMIDE MONONUCLEOTIDE,NICOTINAMIDE MONONUCLEOTIDE_M+H,pass,g,,C11H15N2O8P,334.0566,HMDB0000229,C00455,HILIC,M+H,C00455_HILIC_M+H,335.063876,197.970672
Ken-IDX,3,A,11,THIAMINE,THIAMINE_M+3H,pass,g,,C12H17N4OS,264.105,HMDB0000235,C00378,HILIC,M+3H,C00378_HILIC_M+3H,89.042276,195.18384
Ken-IDX,3,A,11,THIAMINE,THIAMINE_M+2H,pass,g,,C12H17N4OS,264.105,HMDB0000235,C00378,HILIC,M+2H,C00378_HILIC_M+2H,133.059776,195.710322
Ken-IDX,3,A,11,THIAMINE,THIAMINE_M+H,pass,g,,C12H17N4OS,264.105,HMDB0000235,C00378,HILIC,M+H,C00378_HILIC_M+H,265.112276,162.407256
Ken-IDX,1,G,8,PYRIDOXINE,PYRIDOXINE_M+H-H2O,two peaks - structure likely,y,,C8H11NO3,169.0739,HMDB0000239,C00314,HILIC,M+H-H2O,C00314_HILIC_M+H-H2O,152.070612,117.26514
Ken-IDX,1,G,8,PYRIDOXINE,PYRIDOXINE_M+Na,poor peak shape,y,,C8H11NO3,169.0739,HMDB0000239,C00314,HILIC,M+Na,C00314_HILIC_M+Na,192.06312,115.758
Ken-IDX,7,A,12,PROTOPORPHYRIN,PROTOPORPHYRIN_M+H,early elute,y,,C34H34N4O4,562.258,HMDB0000241,C02191,HILIC,M+H,C02191_HILIC_M+H,563.265276,49.296999
Ken-IDX,3,H,2,RIBOFLAVIN,RIBOFLAVIN_M+H,poor peak shape - best,y,,C17H20N4O6,376.1383,HMDB0000244,C00255,HILIC,M+H,C00255_HILIC_M+H,377.145576,130.032492
Ken-IDX,3,H,2,RIBOFLAVIN,RIBOFLAVIN_M+Na,poor peak shape - best,y,,C17H20N4O6,376.1383,HMDB0000244,C00255,HILIC,M+Na,C00255_HILIC_M+Na,399.12752,129.7635
Ken-IDX,3,H,2,RIBOFLAVIN,RIBOFLAVIN_M+K,poor peak shape,y,,C17H20N4O6,376.1383,HMDB0000244,C00255,HILIC,M+K,C00255_HILIC_M+K,415.10146,129.649002
Ken-IDX,3,H,2,RIBOFLAVIN,RIBOFLAVIN_2M+H,poor peak shape,y,,C17H20N4O6,376.1383,HMDB0000244,C00255,HILIC,2M+H,C00255_HILIC_2M+H,753.283876,130.176
Ken-IDX,6,G,2,SUCROSE,SUCROSE_M+Na,pass,g,yes,C12H22O11,342.1162,HMDB0000258,C00089,HILIC,M+Na,C00089_HILIC_M+Na,365.10542,187.118982
Ken-IDX,5,G,11,SEROTONIN,SEROTONIN_M+H-NH3,structure possible and coelute,y,,C10H12N2O,176.095,HMDB0000259,C00780,HILIC,M+H-NH3,C00780_HILIC_M+H-NH3,160.075727,131.79984
Ken-IDX,5,G,11,SEROTONIN,SEROTONIN_M+H,pass,g,,C10H12N2O,176.095,HMDB0000259,C00780,HILIC,M+H,C00780_HILIC_M+H,177.102276,130.719354
Ken-IDX,1,E,5,THYMINE,THYMINE_M+H,poor peak shape,y,yes,C5H6N2O2,126.0429,HMDB0000262,C00178,HILIC,M+H,C00178_HILIC_M+H,127.050176,157.668372
Ken-IDX,7,C,3,SPHINGANINE,SPHINGANINE_M+H,early elute,y,,C18H39NO2,301.2981,HMDB0000269,C00836,HILIC,M+H,C00836_HILIC_M+H,302.305376,57.824004
Ken-IDX,1,D,6,THYMIDINE,THYMIDINE_M+Na,poor peak shape - better adduct,y,,C10H14N2O5,242.0903,HMDB0000273,C00214,HILIC,M+Na,C00214_HILIC_M+Na,265.07952,80.551002
Ken-IDX,1,D,6,THYMIDINE,THYMIDINE_M+2Na-H,poor peak shape - coelute,y,,C10H14N2O5,242.0903,HMDB0000273,C00214,HILIC,M+2Na-H,C00214_HILIC_M+2Na-H,287.061464,78.921
Ken-IDX,6,H,5,D-RIBOSE,D-RIBOSE_2M+ACN+H,pass,g,yes,C5H10O5,150.0528,HMDB0000283,C00121,HILIC,2M+ACN+H,C00121_HILIC_2M+ACN+H,342.139423,186.599424
Ken-IDX,1,E,3,URIDINE-5-MONOPHOSPHATE,URIDINE-5-MONOPHOSPHATE_M+H,pass,g,,C9H13N2O9P,324.0359,HMDB0000288,C00105,HILIC,M+H,C00105_HILIC_M+H,325.043176,190.917504
Ken-IDX,1,E,3,URIDINE-5-MONOPHOSPHATE,URIDINE-5-MONOPHOSPHATE_M+Na,pass,g,,C9H13N2O9P,324.0359,HMDB0000288,C00105,HILIC,M+Na,C00105_HILIC_M+Na,347.02512,189.982254
Ken-IDX,6,C,7,Vanillylmandelic acid,Vanillylmandelic acid_M+2Na-H,pass,g,,C9H10O5,198.0528,HMDB0000291,C05584,HILIC,M+2Na-H,C05584_HILIC_M+2Na-H,243.023964,211.33647
Ken-IDX,1,D,10,XANTHINE,XANTHINE_M+H,pass,g,,C5H4N4O2,152.0334,HMDB0000292,C00385,HILIC,M+H,C00385_HILIC_M+H,153.040676,119.95575
